City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
313,manokwari,-0.8667,134.0833,26.62,84,88,1.58,ID,1708651777
314,fernley,39.608,-119.2518,12.48,29,45,0.25,US,1708651777
315,palmer,42.1584,-72.3287,2.23,79,75,4.63,US,1708651613
316,novouzensk,50.4592,48.1431,-13.82,86,100,3.35,RU,1708651778
317,weligama,5.9667,80.4167,24.34,90,99,1.87,LK,1708651778
318,pontes e lacerda,-15.2261,-59.3353,22.13,96,89,1.59,BR,1708651778
319,carutapera,-1.195,-46.02,23.53,96,100,1.44,BR,1708651778
320,tomatlan,19.9333,-105.25,24.77,52,24,1.94,MX,1708651778
321,lamar,33.6668,-95.5836,21.05,53,0,5.66,US,1708651778
322,ko pha ngan,9.7578,100.0291,26.38,71,51,4.51,TH,1708651579
323,bodaybo,57.8506,114.1933,-27.98,100,91,0.42,RU,1708651778
324,prince rupert,54.3161,-130.3201,6.05,81,100,1.03,CA,1708651778
325,magadan,59.5667,150.8,-20.34,70,16,3.01,RU,1708651665
326,cacu,-18.5567,-51.1308,25.28,73,73,2.79,BR,1708651779
327,prado,-17.3411,-39.2208,25.24,93,100,4.11,BR,1708651516
328,berezovyy,51.6667,135.7,-14.5,66,1,1.1,RU,1708651779
329,whangarei,-35.7317,174.3239,24.65,53,88,1.39,NZ,1708651779
330,bandarbeyla,9.4942,50.8122,25.09,70,100,7.45,SO,1708651779
331,labytnangi,66.6572,66.4183,-22.15,99,100,1.34,RU,1708651779
332,bom jesus da lapa,-13.255,-43.4181,22.15,88,100,1.61,BR,1708651779
333,corner brook,48.9667,-57.9484,-2.91,97,100,1.73,CA,1708651779
334,n'zeto,-7.2312,12.8666,27.1,83,100,1.85,AO,1708651779
335,newman,37.3138,-121.0208,18.13,60,4,0.89,US,1708651779
336,benifaio,39.2844,-0.426,19.56,59,91,8.85,ES,1708651780
337,tosontsengel,48.7567,98.2839,-25.32,99,100,0.61,MN,1708651780
338,aykhal,66.0,111.5,-22.3,77,100,1.55,RU,1708651780
339,vennesla,58.2694,7.9741,5.16,95,100,9.26,NO,1708651780
340,aden,12.7794,45.0367,25.36,73,84,8.54,YE,1708651512
341,saint-pierre,-21.3393,55.4781,25.82,89,100,6.17,RE,1708651780
342,itoman,26.1247,127.6694,23.43,76,75,6.17,JP,1708651780
343,irtyshsk,53.3333,75.4572,-25.89,91,74,3.32,KZ,1708651780
344,aqsay,51.1678,52.995,-26.14,99,13,2.03,KZ,1708651780
345,ambalangoda,6.2355,80.0538,25.05,87,51,1.91,LK,1708651780
346,weno,7.4515,151.8468,28.97,94,100,5.14,FM,1708651780
347,del rio,29.3627,-100.8968,27.06,14,0,6.17,US,1708651781
348,wanning,18.8003,110.3967,24.27,84,98,1.26,CN,1708651781
349,arteche,12.2645,125.4048,27.97,68,34,4.15,PH,1708651781
350,twentynine palms,34.1356,-116.0542,19.52,28,9,3.5,US,1708651758
351,pariaman,-0.619,100.12,26.03,79,23,1.24,ID,1708651781
352,kailua-kona,19.6406,-155.9956,24.72,72,73,1.34,US,1708651749
353,juegang,32.3174,121.1855,1.19,91,97,6.02,CN,1708651781
354,stanley,54.868,-1.6985,2.38,88,20,4.12,GB,1708651781
355,sisimiut,66.9395,-53.6735,-13.74,81,100,6.87,GL,1708651781
356,mongoumba,3.6415,18.5936,29.21,30,100,0.89,CF,1708651781
357,geraldton,-28.7667,114.6,37.23,22,100,11.32,AU,1708651781
358,porto velho,-8.7619,-63.9039,28.03,83,40,0.0,BR,1708651782
359,hohhot,40.8106,111.6522,-7.84,45,0,3.0,CN,1708651782
360,amga,60.8953,131.9608,-27.51,98,100,0.53,RU,1708651782
